Visitor arrivals by Country Group, CY2008 to CY2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Group;CY2008;CY2009;CY2010;CY2011;CY2012;CY2013;CY2014;CY2015;CY2016;CY2017;CY2018;CY2019;CY2020;CY2021;CY2022;CY2023;CY2024;CY2025;TOTAL;;;;;;;;;;;
JAPAN;30.937;27.538;29.695;38.051;39.637;35.879;37.373;31.191;29.195;25.979;22.363;19.690;5.751;159;1.313; 	3.898 ; 	5.936 ; 	8.008 ;392.593;;;;;;;;;;;
SOUTH KOREA;14.491;13.168;15.225;15.964;19.611;17.448;14.624;12.309;12.392;11.845;14.307;11.860;2.691;24;227; 	940 ; 	747 ; 	1.073 ;178.946;;;;;;;;;;;
TAIWAN;20.026;15.999;21.865;37.382;38.614;26.568;30.129;14.199;13.867;9.766;11.332;15.435;2.553;2.570;1.420; 	10.259 ; 	12.243 ; 	13.604 ;297.831;;;;;;;;;;;
CHINA;597;767;1.025;2.282;4.966;9.234;39.308;88.393;64.879;57.727;41.171;30.020;3.290;45;130; 	10.574 ; 	18.236 ; 	23.349 ;395.993;;;;;;;;;;;
USA/CANADA;7.427;6.850;7.999;8.348;8.072;8.635;8.815;8.827;8.413;7.981;8.427;8.180;1.902;2.093;6.692; 	8.398 ; 	10.234 ; 	11.387 ;138.680;;;;;;;;;;;
EUROPE;4.081;3.465;3.905;4.519;5.192;5.662;5.177;4.230;4.881;4.652;4.336;3.712;1.238;59;903; 	2.731 ; 	3.442 ; 	5.682 ;67.867;;;;;;;;;;;
AUSTRALIA;614;673;1.092;1.123;1.075;1.181;1.049;880;773;653;624;716;117;36;249; 	1.172 ; 	1.498 ; 	3.035 ;16.560;;;;;;;;;;;
OTHERS;2.908;2.703;3.602;3.137;2.959;3.436;3.709;3.515;3.674;3.556;3.381;4.110;766;245;1.394; 	3.255 ; 	3.848 ; 	5.543 ;55.741;;;;;;;;;;;
Total;81.081;71.163;84.408;110.806;120.126;108.043;140.184;163.545;138.074;122.159;105.941;93.723;18.308;5.231;12.328;41.227;56.184;71.681;1.544.212;;;;;;;;;;;
